3,7,10,5,1,6,1,1,1,3,4,44,3
2,7,9,4,0,7,2,0,0,3,0,38,2
5,7,11,5,2,9,3,0,0,4,0,30,6
5,2,6,3,0,8,1,1,1,0,0,43,6
3,2,6,4,1,4,2,0,1,3,0,39,9
4,7,8,5,1,0,5,0,1,4,1,43,4
6,6,6,3,0,1,4,1,1,4,2,44,1
2,3,8,4,0,13,2,1,1,0,0,42,4
2,7,8,2,0,13,3,0,1,4,0,36,4
5,7,6,1,0,6,3,0,1,0,2,41,5
5,5,6,3,0,6,2,1,1,0,0,41,5
3,2,9,3,2,12,2,3,1,3,0,45,8
6,6,9,3,0,13,2,2,0,8,0,37,0
5,2,6,4,0,1,1,1,1,4,2,41,0
4,4,8,3,1,2,1,0,0,1,0,37,3
4,7,11,4,0,12,0,0,0,0,0,37,9
3,1,11,5,0,13,4,0,1,3,3,47,0
3,7,5,8,0,0,3,1,1,0,0,43,0
3,7,11,4,0,9,1,0,0,1,3,37,2
5,6,10,2,1,6,3,0,0,6,2,41,0
2,1,12,2,1,12,3,0,0,3,4,32,3
5,7,12,4,1,9,2,1,0,4,1,37,4
4,7,10,3,0,4,2,2,1,2,0,41,1
2,3,9,3,0,13,2,0,1,0,0,44,6
2,7,8,6,0,7,3,0,1,4,2,43,1
5,7,8,6,0,13,2,2,1,2,0,43,5
4,2,14,3,2,10,1,0,1,3,5,39,6
2,7,14,0,0,13,0,0,1,0,0,41,5
3,7,9,0,0,9,2,0,1,1,1,45,0
3,7,10,3,2,1,2,1,1,1,1,40,4
5,7,8,5,1,4,2,0,0,4,1,48,2
2,0,11,5,0,13,2,1,0,2,1,42,9
5,4,11,3,0,13,3,1,0,0,0,45,11
4,7,11,1,0,5,1,1,0,0,0,35,1
4,7,8,5,0,7,2,2,0,0,0,40,3
3,7,7,0,3,0,2,1,1,1,3,37,6
4,0,9,6,2,8,4,0,1,5,0,32,5
4,3,9,3,1,3,2,0,0,3,0,43,2
4,7,9,6,0,12,2,0,0,0,2,39,4
3,6,11,1,1,11,3,0,1,4,0,47,3
4,7,12,2,3,8,1,0,0,6,1,42,4
4,7,11,4,0,5,3,0,1,2,2,37,3
4,7,5,1,0,6,5,0,1,0,1,38,1
4,3,11,2,0,13,1,0,0,0,0,45,6
3,7,10,0,0,10,1,0,0,0,3,40,4
5,7,6,2,0,6,4,0,1,2,0,41,4
3,7,8,6,3,0,3,1,1,2,0,40,2
2,3,6,6,2,10,1,1,0,6,1,41,3
4,7,10,5,0,12,2,0,1,0,2,40,8
3,7,6,5,0,13,1,2,0,2,0,44,2
4,7,11,2,1,8,2,0,0,4,2,39,2
4,6,12,5,0,4,1,0,1,1,0,41,0
4,0,9,3,1,13,2,0,1,6,0,35,0
6,2,8,2,1,10,3,0,1,4,3,41,3
4,7,9,5,0,0,3,0,0,4,2,38,4
3,7,7,2,2,13,1,1,1,5,0,41,5
4,7,7,3,1,5,4,0,1,5,2,37,6
2,4,12,2,0,13,2,0,0,0,0,46,1
3,0,6,5,1,11,1,0,0,4,2,45,9
3,3,9,4,1,12,3,1,1,0,0,44,0
4,7,8,5,0,4,3,0,1,4,2,42,0
3,3,12,2,2,7,4,0,0,3,2,37,5
2,5,10,8,0,13,3,0,0,2,1,41,6
5,7,4,4,0,3,5,0,1,3,6,42,0
3,7,13,1,1,1,3,0,1,0,4,42,3
3,7,12,5,0,9,5,0,0,1,0,48,5
2,1,14,5,1,7,2,1,1,5,3,36,6
5,0,7,3,0,13,2,1,1,3,0,42,3
2,5,4,2,0,11,3,0,0,0,2,42,0
3,1,7,3,0,7,3,0,1,3,0,33,2
3,6,10,5,1,13,3,0,1,4,0,39,5
2,4,13,5,0,8,1,2,0,0,3,41,0
5,2,13,0,0,6,2,2,1,0,0,41,8
3,7,6,3,0,10,0,0,1,3,4,38,0
1,7,3,5,1,12,3,1,0,4,1,38,2
2,7,10,2,1,3,2,1,0,3,1,36,7
3,6,7,4,0,7,2,0,1,0,0,40,8
4,6,11,4,1,13,4,0,0,4,2,40,5
3,7,9,4,0,13,3,2,1,5,0,43,3
3,7,12,4,1,0,3,1,1,5,0,39,2
4,4,13,6,0,13,2,1,1,1,0,41,4
1,7,8,4,0,6,3,0,1,3,4,41,0
3,3,8,3,0,4,4,0,1,5,5,38,0
3,7,11,5,2,11,2,0,1,4,0,37,8
4,7,11,4,0,3,2,0,1,0,2,43,2
4,6,9,0,1,13,0,0,1,0,1,37,0
3,7,10,4,0,8,3,1,0,1,0,41,2
4,7,9,5,0,7,3,0,1,0,3,42,8
1,7,9,5,0,13,2,0,1,3,5,43,12
3,5,10,0,0,11,3,2,1,0,0,39,0
1,5,15,5,1,11,1,1,1,2,1,41,8
2,7,12,3,0,9,4,0,1,4,0,44,0
4,7,6,3,1,9,5,0,0,4,0,46,6
3,7,13,1,1,11,2,1,1,0,1,43,0
3,7,12,1,0,6,2,0,1,2,0,35,4
4,2,10,2,0,8,3,0,1,5,2,37,0
3,5,6,2,0,13,2,1,0,0,4,40,8
5,4,7,2,0,13,1,1,1,0,0,42,0
3,7,15,5,0,4,5,0,1,5,2,34,3
3,7,11,3,0,13,1,1,0,3,3,42,0
3,2,10,3,0,9,1,0,1,3,2,40,0
5,7,9,0,0,7,3,1,1,0,0,41,6
4,2,9,2,0,6,4,0,0,3,3,41,7
2,7,10,3,1,10,3,2,0,5,4,38,6
3,7,10,3,1,6,3,0,0,4,2,43,7
3,5,8,1,2,13,4,2,1,0,2,43,1
3,6,7,4,1,13,3,0,1,6,5,41,0
2,7,12,0,0,8,0,0,1,1,2,42,5
1,7,7,4,1,13,2,0,0,4,3,43,7
2,6,8,1,2,11,2,0,1,5,4,36,3
2,2,7,1,2,1,2,2,0,3,5,40,7
4,1,8,4,0,3,1,1,0,2,0,37,0
3,1,7,3,3,4,3,0,0,4,1,39,6
3,5,9,4,1,4,3,1,1,3,4,37,9
5,3,10,4,1,13,1,2,0,2,2,43,9
3,7,10,3,2,13,4,1,1,3,1,41,12
3,7,9,3,1,3,1,0,0,0,0,36,4
5,7,8,4,1,1,3,0,0,0,5,39,1
4,7,11,7,2,6,3,2,0,4,0,47,6
4,4,7,2,2,9,1,1,1,3,2,41,3
3,2,9,5,2,13,3,1,0,3,0,40,4
4,2,5,4,0,0,3,0,1,0,3,39,6
2,5,6,2,0,13,4,0,1,5,2,39,1
4,7,8,7,0,13,1,0,1,0,2,43,6
3,7,7,1,1,6,5,0,1,4,0,46,2
2,0,6,3,1,6,3,1,0,5,1,36,0
2,4,8,6,1,13,3,0,0,3,1,42,1
4,6,9,1,3,9,5,0,1,4,0,41,7
5,3,12,6,1,8,4,1,1,0,1,39,0
4,7,11,6,0,9,4,0,0,3,3,40,5
4,7,10,2,1,13,1,2,1,6,3,43,3
3,4,14,6,0,13,4,0,1,0,2,47,0
2,4,8,2,2,9,1,1,0,5,3,42,5
4,1,6,6,1,9,3,2,1,5,1,37,6
3,5,10,2,1,13,3,3,1,3,2,39,2
4,7,9,5,0,7,2,3,1,0,3,43,1
3,7,9,5,0,10,2,0,1,2,1,34,10
2,7,13,1,0,7,1,0,0,2,1,39,6
4,7,9,1,1,2,3,3,1,2,2,40,4
4,1,6,3,0,5,3,3,0,1,4,45,5
5,7,12,4,0,4,1,1,0,0,0,44,7
5,7,4,4,0,0,3,0,1,0,0,41,0
7,7,8,4,0,6,5,1,1,0,0,43,0
2,7,8,1,0,13,2,1,0,4,1,35,8
3,5,7,3,1,10,1,0,0,5,2,38,1
3,7,8,6,0,2,3,0,0,4,3,40,3
3,7,10,2,0,9,3,1,1,4,1,45,8
2,0,9,3,1,10,4,0,0,4,0,44,7
2,1,11,3,0,6,3,1,1,2,0,37,10
3,5,8,5,0,1,2,1,1,0,1,37,1
3,7,9,4,1,4,3,0,1,2,2,34,4
3,5,12,1,3,11,2,0,0,3,0,43,6
2,7,11,2,0,4,2,0,1,1,2,41,0
2,4,10,4,0,13,4,0,1,3,0,41,8
6,7,12,7,0,7,1,0,1,0,1,44,0
2,3,12,2,2,13,1,0,0,7,0,33,0
3,7,7,7,1,3,3,0,0,4,3,42,2
3,3,10,4,1,6,4,0,0,5,2,40,6
3,0,12,4,3,0,3,0,1,4,5,37,8
2,6,10,5,0,6,5,2,1,4,1,38,6
3,3,8,4,0,4,1,2,0,1,0,46,4
4,7,11,2,0,13,2,0,0,3,4,38,13
4,6,6,6,0,9,2,0,1,5,0,44,3
2,4,12,8,0,1,4,0,1,2,0,34,4
3,5,7,2,2,0,3,0,1,3,1,45,5
2,7,11,5,0,6,3,0,0,3,0,39,0
5,3,4,3,0,6,3,0,1,0,1,41,0
4,7,10,0,1,10,1,1,1,4,0,42,1
4,3,7,3,1,13,1,2,1,6,0,37,0
2,7,6,4,2,6,2,1,0,3,0,42,6
4,7,10,3,0,11,3,0,0,3,1,43,0
3,7,10,5,0,10,2,0,0,0,1,45,8
4,7,12,5,0,6,1,3,1,0,4,43,3
3,7,6,3,1,2,2,1,1,1,1,37,1
3,7,10,4,1,13,4,1,1,4,3,41,4
3,7,8,4,2,9,2,1,1,4,2,43,6
5,3,5,2,0,10,2,0,0,0,3,40,0
3,6,9,2,0,13,3,1,1,3,0,41,0
3,7,7,2,0,12,3,0,0,3,0,40,0
5,7,13,4,0,5,1,2,1,0,0,45,0
3,7,12,5,0,13,4,0,1,0,0,45,5
4,0,10,6,2,11,2,0,1,3,2,38,4
3,0,11,2,2,9,5,0,1,4,1,41,6
4,7,5,5,0,13,2,0,0,1,0,43,4
5,7,8,6,0,13,3,3,0,0,2,36,3
4,7,7,6,0,13,1,0,1,2,0,37,5
3,7,7,4,2,1,4,0,1,4,0,47,1
2,7,12,5,1,12,2,2,1,5,1,41,7
4,0,8,4,0,3,1,1,1,2,0,37,4
3,3,9,3,0,13,2,0,1,0,2,43,0
2,7,5,2,0,0,2,2,1,0,2,41,5
5,7,7,3,0,13,1,3,1,4,1,40,4
2,2,6,4,2,7,3,0,1,3,0,40,8
3,7,9,3,0,4,1,0,0,0,2,43,1
3,6,9,2,2,2,3,1,0,5,0,42,9
3,5,7,5,1,11,2,0,1,3,1,44,6
4,2,12,4,3,1,2,0,1,5,1,45,4
4,7,7,6,0,10,4,1,1,0,1,43,1
3,7,10,2,1,5,3,1,0,5,0,44,1
6,4,8,5,0,3,2,1,1,0,0,41,6
3,7,6,4,1,4,3,0,1,0,0,51,2
3,0,5,6,2,13,4,0,1,5,2,44,11
3,6,8,0,0,11,1,0,1,3,0,40,4
3,7,9,2,2,13,3,2,0,6,1,38,10
4,7,12,6,1,7,3,0,1,5,1,42,4
6,7,8,4,1,13,0,2,0,5,1,37,4
3,6,7,1,1,0,2,0,1,1,1,42,5
3,3,11,1,2,2,2,0,1,4,0,37,7
4,7,15,3,1,1,3,0,0,4,0,45,6
6,7,9,1,0,1,1,1,1,0,5,40,0
3,7,9,4,1,3,4,1,1,1,0,46,0
6,6,12,6,1,5,2,2,0,0,0,47,5
3,4,12,2,3,13,3,1,1,6,0,39,7
5,5,8,5,3,13,2,0,1,4,0,42,2
3,3,14,2,4,12,1,4,1,0,5,41,0
4,7,13,3,2,13,3,0,1,3,1,38,2
5,7,12,5,2,2,2,1,1,1,0,45,1
4,7,6,4,1,7,2,1,1,4,1,38,2
3,7,9,1,1,10,4,0,0,4,1,43,9
3,3,10,2,1,10,3,2,0,4,3,35,8
2,6,13,1,0,10,4,0,1,0,1,41,7
3,7,9,3,0,4,3,2,1,1,0,39,0
3,7,10,1,4,1,2,1,0,4,0,42,5
4,7,5,3,1,4,2,0,1,0,0,36,2
5,0,5,4,0,12,1,1,1,0,0,36,3
2,4,12,3,0,13,3,0,1,0,0,46,0
4,1,5,1,2,13,4,1,1,7,0,46,1
4,7,7,2,2,2,2,0,0,0,0,48,3
5,5,8,6,0,1,2,1,1,1,0,40,10
3,5,7,4,1,9,4,0,1,0,1,40,7
3,2,13,5,0,3,3,0,1,0,3,39,7
3,3,11,4,4,13,1,1,0,3,5,39,3
5,7,7,7,0,9,2,1,0,0,0,42,2
4,7,6,6,0,3,0,0,1,2,0,44,1
4,7,9,5,0,13,3,0,0,1,0,45,11
4,7,10,3,0,7,3,0,1,2,0,44,0
3,2,12,1,0,6,3,0,0,4,1,29,7
2,0,11,5,2,13,1,0,0,3,0,32,9
5,5,11,5,0,9,3,0,1,3,2,39,5
3,0,10,6,1,13,2,0,0,3,0,34,6
2,6,7,5,2,10,2,1,1,3,0,44,9
4,5,12,5,1,11,1,0,1,5,0,45,2
5,5,10,2,3,7,3,0,1,4,4,36,5
3,7,9,3,1,5,2,1,0,5,0,43,10
5,3,10,3,0,13,3,0,0,2,4,33,2
4,7,8,2,0,5,3,0,0,0,1,39,4
3,7,11,3,1,10,3,0,0,4,0,37,4
4,4,11,8,2,13,2,2,1,0,7,39,2
4,4,9,3,2,7,2,0,0,5,1,39,6
6,4,6,2,2,4,2,1,1,4,4,44,6
3,7,9,8,2,6,2,1,1,0,1,46,6
4,0,15,6,0,9,3,0,0,3,0,40,10
3,5,15,3,0,13,4,0,1,0,1,42,6
4,7,9,5,2,1,3,0,0,1,0,42,6
4,4,6,3,1,11,1,0,1,4,0,36,4
4,0,9,2,1,4,1,1,0,4,0,43,8
3,0,7,4,2,12,1,1,0,2,3,36,7
2,5,6,4,0,13,1,0,1,0,2,47,5
3,6,8,4,2,13,3,1,0,0,1,38,1
3,2,7,3,2,12,2,2,1,0,0,45,8
3,7,7,3,0,3,4,0,1,0,1,40,8
5,3,10,6,1,13,2,0,1,3,0,38,3
5,7,10,3,2,6,2,0,0,7,2,31,2
4,3,9,0,2,9,3,0,1,0,1,45,0
4,3,9,5,3,6,4,0,1,3,2,43,3
3,5,12,1,2,13,3,0,1,5,2,43,7
3,7,9,4,0,8,3,3,1,4,0,43,6
2,7,9,6,0,7,4,2,1,3,1,46,0
5,7,7,1,0,4,1,1,0,0,2,36,0
4,7,9,4,0,13,3,2,0,3,3,45,7
4,7,13,6,1,7,4,1,0,5,2,36,6
4,0,8,1,1,0,2,1,1,0,1,40,1
4,7,8,4,0,3,3,0,1,1,0,45,1
3,1,9,4,1,3,2,1,1,3,1,37,3
5,7,8,0,1,3,1,2,0,2,1,40,4
3,7,8,6,0,12,2,1,1,0,4,44,8
3,5,10,6,0,12,2,0,0,0,0,39,5
2,7,6,6,1,8,2,1,1,3,3,39,5
3,6,8,1,0,9,3,1,1,3,0,40,4
3,7,9,2,1,4,1,0,1,5,0,41,3
3,4,8,5,2,13,2,1,0,3,0,40,7
4,6,6,4,0,11,1,0,1,0,0,44,0
4,7,6,2,1,13,1,0,0,4,0,40,4
2,7,9,3,1,4,4,1,1,4,2,41,7
1,4,10,2,2,8,3,1,0,4,0,40,8
5,5,5,5,0,13,1,0,0,2,1,43,8
4,2,8,3,0,10,3,0,1,0,0,44,3
5,5,7,2,0,3,3,0,0,0,2,36,6
4,1,8,4,0,0,1,0,1,0,0,35,2
4,7,6,6,0,8,3,0,0,0,2,39,2
3,7,7,3,1,11,3,1,0,6,1,41,9
4,7,8,3,0,5,3,1,0,1,4,36,3
2,7,6,2,3,7,3,0,0,5,4,40,4
4,3,11,2,1,11,1,0,1,0,1,46,5
4,7,11,5,0,9,1,0,1,0,1,42,3
4,7,8,3,0,4,2,1,0,0,0,42,2
5,7,4,7,1,13,0,0,1,0,1,43,4
3,0,12,3,2,13,3,2,0,7,0,47,3
3,6,9,5,1,2,1,1,1,4,3,42,0
4,5,7,4,1,7,2,0,0,3,2,37,3
3,1,11,3,1,9,3,0,0,3,2,36,9
3,2,10,4,0,8,4,0,0,2,2,45,8
2,7,8,4,1,7,3,1,1,4,1,37,5
3,7,12,3,0,9,4,3,1,3,0,35,6
4,7,6,5,1,6,3,0,1,5,2,42,3
3,5,12,2,0,7,1,2,0,0,2,40,1
4,7,7,7,0,10,1,1,0,0,2,40,8
3,2,7,3,1,5,3,1,1,0,2,35,6
4,7,11,2,0,3,2,2,1,1,0,43,1
4,7,7,2,0,11,0,2,0,0,0,40,13
2,4,10,2,0,9,2,3,1,5,0,39,0
3,7,10,1,1,13,4,1,1,4,1,36,5
3,4,10,5,2,2,2,1,1,1,1,39,9
4,6,9,1,1,13,4,2,1,3,4,39,0
3,4,9,6,0,0,4,0,0,0,0,39,6
3,1,10,4,0,12,0,0,1,0,2,29,6
4,7,11,2,1,6,3,0,1,3,2,46,1
2,3,6,1,2,9,2,0,1,4,0,42,6
4,7,10,2,0,6,3,0,0,3,0,43,4
3,2,8,4,2,7,4,0,0,0,4,41,0
3,6,9,2,2,13,3,2,1,0,2,43,0
3,7,9,3,0,2,3,0,1,0,2,41,8
4,4,7,2,0,12,3,0,1,0,0,43,6
4,3,13,3,2,3,2,1,1,2,0,39,10
4,0,10,4,1,9,2,0,0,4,1,45,5
2,7,11,2,1,8,3,2,1,4,3,39,6
3,7,8,4,0,13,2,1,0,0,5,42,2
5,7,6,5,1,1,3,0,0,4,2,46,0
4,4,10,3,2,13,1,1,0,5,0,36,4
4,2,10,2,2,1,1,0,0,6,0,41,0
4,7,8,3,1,0,3,0,0,5,2,33,0
3,5,8,4,1,0,2,0,1,2,1,42,3
3,0,12,6,0,7,1,0,1,0,4,44,6
5,7,8,7,0,13,2,0,0,2,1,38,8
4,2,6,8,1,9,2,1,0,0,1,45,8
4,7,6,5,1,5,1,0,1,4,1,42,7
3,5,10,5,0,13,1,1,0,1,2,35,3
3,5,7,7,2,8,5,0,1,4,3,43,3
5,6,4,5,0,9,1,1,1,2,5,40,4
4,5,8,5,0,7,2,1,0,0,3,41,2
4,7,8,2,2,8,5,1,0,4,0,38,4
3,7,8,0,1,2,3,0,1,1,2,38,2
2,3,8,3,1,8,3,0,1,5,1,43,1
3,4,8,3,1,13,4,0,1,3,0,40,2
3,7,10,3,0,3,4,2,1,0,0,46,5
4,7,13,4,0,4,3,1,1,2,3,41,2
3,3,10,4,0,10,1,0,1,4,0,39,2
4,7,9,4,0,9,1,1,0,0,0,41,3
5,6,10,5,1,13,1,1,1,4,1,43,4
3,7,7,5,2,2,3,1,0,3,3,40,1
4,5,5,2,0,13,2,0,0,0,0,35,6
2,1,6,4,1,7,2,3,0,5,0,42,4
3,7,7,4,0,7,2,2,0,0,0,36,4
3,1,10,1,0,9,2,2,0,2,0,37,3
2,4,7,2,1,4,2,0,1,4,3,34,3
3,2,8,1,0,8,3,0,1,0,0,38,1
2,4,13,6,2,11,3,0,1,4,0,43,4
5,7,7,6,0,13,1,0,1,0,1,38,3
4,7,9,4,0,9,2,1,0,2,3,43,3
3,3,11,7,1,13,2,0,1,3,3,43,9
5,7,12,1,1,2,4,1,1,6,1,42,0
3,7,12,4,0,8,2,2,1,2,2,44,3
3,2,9,3,1,6,3,1,1,3,1,39,3
5,7,10,4,1,9,2,2,1,4,2,41,7
3,5,12,5,3,13,5,0,1,5,3,39,13
4,2,7,3,0,13,3,2,1,2,0,38,0
4,7,12,4,0,8,2,2,1,5,0,39,2
4,7,10,3,0,10,3,2,1,3,3,38,6
4,6,8,0,0,4,4,0,1,2,2,42,4
4,7,9,3,0,7,2,0,1,4,5,40,0
3,7,9,0,2,0,3,1,1,1,2,44,5
3,7,10,4,0,11,2,0,0,3,5,41,8
2,1,9,3,0,10,1,0,0,2,0,31,9
2,4,9,5,0,7,1,0,0,0,5,39,1
4,7,11,1,2,13,1,1,1,3,1,39,11
2,7,11,1,1,4,3,2,0,3,3,40,5
3,7,6,2,0,13,3,2,1,0,1,42,3
4,2,9,4,0,8,3,0,1,2,0,44,5
4,7,9,1,0,13,1,1,1,0,0,36,2
2,4,14,2,0,13,2,0,0,0,2,39,5
3,6,5,2,0,13,3,0,1,0,3,43,0
4,6,10,5,1,0,4,1,1,2,1,41,8
3,7,12,0,1,9,2,0,0,3,0,38,7
3,7,9,3,0,10,1,0,0,0,0,48,0
5,3,9,5,0,5,2,1,1,0,0,40,0
3,4,12,4,0,13,3,1,1,0,0,36,0
4,7,6,2,0,5,3,0,0,0,4,38,6
5,7,8,2,0,4,0,0,1,4,2,33,3
3,5,2,5,1,5,2,0,0,3,2,36,9
2,7,9,4,0,7,2,0,1,3,4,44,0
3,3,12,0,0,13,0,1,0,0,1,41,0
4,5,8,5,0,7,4,0,1,0,2,43,10
4,0,9,3,2,10,2,2,1,3,1,36,7
4,7,8,1,1,13,2,2,0,4,0,36,4
4,6,7,2,0,4,2,0,1,0,0,40,4
4,3,10,6,2,8,2,0,1,4,0,38,2
5,4,7,2,2,5,1,0,1,4,0,45,5
4,3,7,5,1,9,1,1,1,3,4,38,3
3,7,5,6,2,10,5,2,1,3,0,41,6
2,6,7,5,1,7,3,0,1,3,0,43,6
3,4,7,5,0,6,2,1,1,3,4,38,0
4,5,6,3,1,7,3,1,0,3,0,36,14
3,2,6,6,0,9,1,0,0,0,0,40,2
2,4,7,1,0,9,3,1,1,0,2,45,7
3,7,11,5,0,13,2,0,0,0,0,46,6
4,2,9,2,0,13,2,1,1,0,1,43,1
2,4,7,2,1,6,2,1,0,4,0,41,12
4,5,10,6,0,11,2,0,0,0,1,39,0
3,7,9,6,2,13,3,0,0,4,0,44,10
3,5,7,6,1,6,3,0,1,3,0,44,11
4,7,7,0,1,3,2,0,1,3,4,40,2
2,6,11,1,1,7,4,1,1,4,0,41,4
3,4,8,3,0,10,4,0,0,2,5,44,7
3,6,8,4,3,5,2,2,0,4,0,43,6
3,7,9,4,2,13,4,0,0,6,0,38,5
3,4,11,1,1,1,1,0,1,2,1,43,2
3,4,12,6,1,12,3,1,0,3,2,38,8
4,1,8,4,2,0,3,0,1,5,0,39,8
4,2,8,1,1,13,1,0,1,0,0,45,2
2,7,11,7,1,13,2,2,0,3,0,42,4
5,5,9,6,0,7,1,0,1,1,1,45,1
3,1,8,4,1,0,2,0,1,3,2,43,2
3,4,11,2,0,13,2,0,1,0,0,40,1
2,7,8,4,0,8,3,2,1,5,1,44,0
5,7,7,1,0,13,3,2,0,0,1,44,4
3,5,7,5,1,13,4,0,1,7,0,35,0
3,6,11,5,0,5,2,1,1,3,0,38,5
4,7,7,4,0,11,1,1,1,0,0,43,2
3,7,8,4,1,3,4,1,0,2,1,45,1
3,7,6,5,0,7,2,2,1,3,3,39,7
2,3,10,4,1,13,4,0,1,5,4,44,10
4,2,6,1,0,7,3,1,0,4,4,41,0
4,1,7,5,1,4,2,1,1,1,3,39,7
4,5,9,2,3,5,4,0,0,4,3,41,12
3,1,7,3,2,4,3,0,1,0,0,40,0
2,1,8,0,1,3,4,2,1,4,1,40,4
4,7,7,2,1,2,4,0,0,4,2,37,6
5,7,13,2,0,6,3,0,0,0,4,44,6
3,0,10,3,3,0,3,2,1,6,0,44,3
4,0,13,2,4,8,3,1,1,5,0,40,5
3,0,10,1,0,13,1,0,1,0,2,39,6
3,7,7,3,2,2,4,0,1,1,0,39,4
4,5,13,6,2,11,2,0,1,3,1,43,4
4,2,8,3,0,7,4,0,1,4,3,39,0
3,0,13,3,3,13,4,1,0,6,0,41,5
4,7,8,0,0,2,1,0,1,1,5,40,7
3,7,9,4,1,13,2,0,0,4,0,41,4
3,5,9,7,0,13,2,2,0,0,4,39,3
2,7,11,6,0,13,1,0,0,0,0,41,2
2,3,13,3,1,9,3,0,1,5,0,42,4
2,7,11,2,3,13,3,0,0,5,0,40,8
3,7,11,5,0,6,3,2,0,1,5,38,8
3,7,12,6,1,0,2,1,0,3,0,34,3
3,4,7,2,2,10,2,0,0,3,0,45,7
3,4,10,2,1,13,2,0,1,3,3,40,6
5,7,10,5,1,8,1,1,1,5,3,39,7
4,7,12,6,2,3,3,0,0,3,0,45,1
2,7,10,6,0,12,2,0,0,0,0,40,3
4,7,7,5,1,9,3,2,1,4,2,35,3
4,7,13,2,3,13,2,0,0,5,0,39,7
4,0,8,3,0,13,1,1,0,0,5,45,0
2,2,7,4,1,7,3,0,0,0,4,39,0
2,7,10,4,0,13,1,0,1,4,0,38,5
5,7,11,1,2,6,2,0,0,4,3,40,3
3,7,14,6,2,11,3,1,1,3,0,35,10
4,7,11,7,1,4,2,0,1,0,1,42,3
3,6,8,3,0,4,2,0,1,3,1,38,0
5,5,8,3,1,7,2,1,1,4,0,38,2
3,5,11,3,1,6,1,1,1,5,0,39,6
4,0,8,5,1,13,3,1,0,6,0,39,2
2,2,5,4,0,0,2,1,0,1,4,38,9
4,7,10,5,0,13,2,0,1,0,1,42,7
3,0,7,0,0,6,2,1,1,2,1,38,1
3,7,7,5,0,7,1,0,1,1,0,40,9
4,1,10,1,0,13,4,0,1,1,0,44,2
1,7,7,0,2,11,2,0,1,6,0,41,0
2,7,8,7,1,13,3,2,0,3,0,39,5
3,5,10,5,2,8,4,1,1,4,0,34,6
2,7,12,4,0,7,2,0,1,4,0,41,9
4,7,9,8,0,12,4,3,1,0,1,42,3
2,3,7,3,0,13,4,1,0,2,0,40,1
3,3,11,0,0,13,2,2,0,4,2,40,9
2,7,9,5,1,11,1,1,1,5,1,35,6
6,7,6,1,0,8,2,2,1,2,0,41,8
4,5,8,2,0,4,3,0,0,0,0,43,3
4,3,10,3,0,13,3,0,0,3,4,35,1
4,7,10,5,0,8,3,0,0,0,3,39,4
3,5,8,5,1,13,4,0,1,0,2,40,5
2,5,11,4,2,0,3,1,0,5,5,36,0
5,7,9,1,0,8,2,0,1,1,1,37,0
3,0,7,2,0,13,4,1,0,2,0,31,5
5,2,9,5,2,13,4,0,0,5,2,33,2
2,0,7,2,4,9,1,2,0,3,0,41,10
5,7,10,1,1,7,2,1,1,4,0,44,0
5,5,13,3,0,10,2,1,1,5,0,36,0
2,7,7,3,0,6,1,0,0,3,6,35,2
5,1,10,3,1,13,4,0,1,4,3,41,0
4,7,11,7,0,12,2,1,1,1,0,42,6
2,5,14,5,0,13,1,0,1,0,3,47,4
3,1,9,7,0,5,2,1,0,0,3,41,7
5,7,10,5,0,13,3,0,0,0,4,47,2
